Price,Open,High,Low,Close,Adj Close,Volume
Ticker,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX,FRAGUAB.MX
Date,,,,,,
2021-05-10,309.05999755859375,309.07000732421875,309.05999755859375,309.07000732421875,271.26727294921875,89
2021-05-11,310.0,320.0,310.0,320.0,280.8603820800781,2151
2021-05-12,320.0,320.0,320.0,320.0,280.8603820800781,8396
2021-05-13,315.9800109863281,325.0,315.9800109863281,321.0,281.7380676269531,270
2021-05-14,321.0,340.0,321.0,340.0,298.4141845703125,853
2021-05-17,337.0,337.0,336.989990234375,336.989990234375,295.7723083496094,92
2021-05-18,326.0,326.0,325.0,325.0,285.24884033203125,3149
2021-05-19,323.0,323.0,323.0,323.0,283.493408203125,1473
2021-05-20,323.0,323.0,323.0,323.0,283.493408203125,8
2021-05-21,325.0,326.1000061035156,325.0,326.1000061035156,286.21429443359375,64
2021-05-24,325.0,331.0,325.0,331.0,290.51495361328125,38
2021-05-25,333.9700012207031,340.0,325.0,335.20001220703125,294.2012634277344,4860
2021-05-26,335.20001220703125,335.20001220703125,335.20001220703125,335.20001220703125,294.2012634277344,0
2021-05-27,333.0,333.0,332.9700012207031,333.0,292.2703552246094,271
2021-05-28,332.010009765625,332.010009765625,332.010009765625,332.010009765625,291.4014587402344,120
2021-05-31,332.4200134277344,332.4200134277344,330.3999938964844,330.3999938964844,289.9883728027344,108
2021-06-01,332.3900146484375,336.989990234375,320.0,326.70001220703125,286.74090576171875,831
2021-06-02,333.9700012207031,340.0,330.0,331.760009765625,291.1820068359375,1931
2021-06-03,333.95001220703125,335.8999938964844,333.95001220703125,335.8999938964844,294.81561279296875,118
2021-06-04,334.7200012207031,336.0,334.7200012207031,336.0,294.9034423828125,196
2021-06-07,336.0,340.0,336.0,340.0,298.4141845703125,2222
2021-06-08,350.0,360.0,350.0,360.0,315.96795654296875,391
2021-06-09,360.0,360.0,360.0,360.0,315.96795654296875,526
2021-06-10,360.0,360.0,360.0,360.0,315.96795654296875,667
2021-06-11,365.0,369.0,360.0,360.0,315.96795654296875,1065
2021-06-14,360.0,360.0,355.04998779296875,355.04998779296875,311.6233825683594,102
2021-06-15,360.0,360.0,355.04998779296875,355.04998779296875,311.6233825683594,459
2021-06-16,355.0,355.0,337.5,339.5799865722656,298.0455017089844,544
