Price,Open,High,Low,Close,Adj Close,Volume
Ticker,GMXT.MX,GMXT.MX,GMXT.MX,GMXT.MX,GMXT.MX,GMXT.MX
Date,,,,,,
2020-08-24,28.200000762939453,28.709999084472656,27.8700008392334,28.059999465942383,21.881750106811523,1678939
2020-08-25,28.06999969482422,28.290000915527344,27.170000076293945,27.780000686645508,21.66340446472168,1344248
2020-08-26,28.09000015258789,29.209999084472656,27.829999923706055,28.799999237060547,22.458816528320312,5108576
2020-08-27,28.850000381469727,29.020000457763672,28.309999465942383,28.469999313354492,22.201478958129883,129054
2020-08-28,28.440000534057617,29.190000534057617,28.389999389648438,29.020000457763672,22.630380630493164,431268
2020-08-31,29.290000915527344,29.290000915527344,27.639999389648438,28.420000076293945,22.162485122680664,373690
2020-09-01,28.15999984741211,29.3799991607666,28.139999389648438,29.270000457763672,22.825340270996094,5377053
2020-09-02,29.3799991607666,29.450000762939453,29.059999465942383,29.219999313354492,22.786346435546875,313270
2020-09-03,29.459999084472656,29.479999542236328,28.5,29.15999984741211,22.739553451538086,662294
2020-09-04,29.270000457763672,29.479999542236328,28.579999923706055,29.09000015258789,22.684965133666992,938862
2020-09-07,29.09000015258789,29.09000015258789,28.31999969482422,28.729999542236328,22.404232025146484,223198
2020-09-08,28.549999237060547,29.200000762939453,28.0,28.219999313354492,22.006519317626953,823935
2020-09-09,28.079999923706055,29.5,27.889999389648438,28.889999389648438,22.529003143310547,920592
2020-09-10,28.809999465942383,29.5,28.559999465942383,29.09000015258789,22.684965133666992,1407379
2020-09-11,29.399999618530273,29.68000030517578,28.6200008392334,29.649999618530273,23.121665954589844,5625199
2020-09-14,29.940000534057617,29.940000534057617,28.549999237060547,28.700000762939453,22.38083839416504,528539
2020-09-15,29.139999389648438,29.68000030517578,28.979999542236328,29.200000762939453,22.77074432373047,433602
2020-09-17,29.09000015258789,29.360000610351562,28.6299991607666,29.059999465942383,22.66157341003418,386153
2020-09-18,29.389999389648438,30.280000686645508,28.799999237060547,29.489999771118164,22.996891021728516,1072934
2020-09-21,29.520000457763672,30.110000610351562,28.559999465942383,29.739999771118164,23.191848754882812,459862
2020-09-22,29.8799991607666,29.8799991607666,28.559999465942383,28.559999465942383,22.27166175842285,401518
2020-09-23,28.530000686645508,28.670000076293945,27.700000762939453,27.8799991607666,21.741384506225586,500842
2020-09-24,27.84000015258789,28.309999465942383,27.610000610351562,28.09000015258789,21.905149459838867,412450
2020-09-25,28.290000915527344,28.690000534057617,27.649999618530273,28.31999969482422,22.084505081176758,479233
2020-09-28,28.489999771118164,28.700000762939453,28.100000381469727,28.219999313354492,22.006519317626953,123503
2020-09-29,28.389999389648438,28.389999389648438,27.799999237060547,28.06999969482422,21.88955307006836,328369
2020-09-30,28.1299991607666,28.8700008392334,27.8700008392334,28.389999389648438,22.13909339904785,472846
2020-10-01,28.559999465942383,28.559999465942383,26.700000762939453,27.170000076293945,21.187711715698242,294954
2020-10-02,26.81999969482422,27.770000457763672,26.81999969482422,27.15999984741211,21.179912567138672,343708
2020-10-05,27.989999771118164,27.989999771118164,26.3700008392334,27.260000228881836,21.257892608642578,178043
2020-10-06,27.579999923706055,27.579999923706055,26.600000381469727,26.979999542236328,21.039548873901367,251428
2020-10-07,27.350000381469727,27.790000915527344,26.959999084472656,27.18000030517578,21.195514678955078,425580
2020-10-08,27.030000686645508,27.68000030517578,26.959999084472656,27.399999618530273,21.3670711517334,461118
2020-10-09,27.049999237060547,27.790000915527344,27.049999237060547,27.399999618530273,21.3670711517334,70207
2020-10-12,27.559999465942383,27.770000457763672,27.219999313354492,27.280000686645508,21.273496627807617,49555
2020-10-13,27.239999771118164,27.709999084472656,27.239999771118164,27.31999969482422,21.304683685302734,129048
2020-10-14,27.649999618530273,27.649999618530273,27.059999465942383,27.139999389648438,21.16431427001953,196912
2020-10-15,27.3700008392334,27.3700008392334,26.860000610351562,26.969999313354492,21.031747817993164,250160
2020-10-16,26.610000610351562,27.25,26.610000610351562,27.059999465942383,21.101932525634766,166035
2020-10-19,27.0,27.18000030517578,26.149999618530273,27.059999465942383,21.101932525634766,172835
2020-10-20,26.639999389648438,26.760000228881836,26.020000457763672,26.299999237060547,20.509267807006836,1281315
2020-10-21,26.280000686645508,26.440000534057617,25.8799991607666,25.969999313354492,20.25192642211914,236977
2020-10-22,26.100000381469727,26.540000915527344,25.219999313354492,25.760000228881836,20.088171005249023,1314002
2020-10-23,25.979999542236328,26.399999618530273,25.540000915527344,25.670000076293945,20.017982482910156,169971
2020-10-26,25.68000030517578,25.989999771118164,25.280000686645508,25.600000381469727,19.963394165039062,57455
2020-10-27,25.719999313354492,25.719999313354492,24.709999084472656,25.229999542236328,19.674863815307617,227995
2020-10-28,25.0,26.110000610351562,24.989999771118164,25.780000686645508,20.103761672973633,113798
2020-10-29,25.270000457763672,25.780000686645508,25.229999542236328,25.440000534057617,19.838623046875,187163
2020-10-30,25.469999313354492,25.549999237060547,24.510000228881836,25.100000381469727,19.5734806060791,249797
2020-11-03,25.350000381469727,25.690000534057617,24.729999542236328,25.209999084472656,19.65926170349121,313854
2020-11-04,24.809999465942383,26.219999313354492,24.809999465942383,25.989999771118164,20.26752281188965,168243
2020-11-05,25.34000015258789,26.25,25.34000015258789,25.549999237060547,19.924402236938477,127866
2020-11-06,25.290000915527344,26.0,25.280000686645508,25.670000076293945,20.017982482910156,65315
2020-11-09,26.700000762939453,26.700000762939453,24.6200008392334,25.139999389648438,19.604673385620117,122829
2020-11-10,24.950000762939453,25.43000030517578,24.639999389648438,25.3799991607666,19.79183578491211,1525692
2020-11-11,25.010000228881836,25.75,25.010000228881836,25.420000076293945,19.823026657104492,251269
2020-11-12,25.309999465942383,25.959999084472656,25.309999465942383,25.8700008392334,20.173946380615234,1206453
2020-11-13,25.790000915527344,26.049999237060547,25.229999542236328,25.479999542236328,19.869815826416016,91644
2020-11-17,25.610000610351562,26.139999389648438,25.469999313354492,25.579999923706055,19.947799682617188,1454987
2020-11-18,25.889999389648438,27.0,25.75,26.790000915527344,20.891380310058594,1378900
2020-11-19,26.719999313354492,26.969999313354492,26.059999465942383,26.670000076293945,20.79779815673828,498946
2020-11-20,26.34000015258789,26.950000762939453,25.6200008392334,25.75,20.308815002441406,279085
2020-11-23,25.969999313354492,25.979999542236328,25.299999237060547,25.719999313354492,20.2851505279541,190230
2020-11-24,25.81999969482422,26.600000381469727,25.81999969482422,26.5,20.900333404541016,1325084
